SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
198,30,4,Car,550,311,769,500,1.0,10.03
199,30,5,Car,916,752,1210,1044,1.0,49.39
200,30,6,Car,738,503,1039,738,1.0,29.6
201,30,9,Car,437,292,568,368,1.0,18.43
202,30,11,Car,657,412,889,608,1.0,29.92
203,31,1,Car,1379,595,1695,863,1.0333,32.03
204,31,2,Car,308,259,451,360,1.0333,7.6
205,31,3,Car,1022,332,1244,530,1.0333,14.47
206,31,4,Car,549,312,771,504,1.0333,6.73
207,31,5,Car,918,759,1214,1049,1.0333,26.27
208,31,6,Car,743,508,1040,743,1.0333,27.28
209,31,9,Car,437,290,569,368,1.0333,6.07
210,31,11,Car,658,416,891,612,1.0333,14.37
211,32,1,Car,1388,603,1700,867,1.0667,43.56
212,32,2,Car,309,260,451,360,1.0667,7.7
213,32,3,Car,1028,337,1252,536,1.0667,28.39
214,32,4,Car,549,314,772,506,1.0667,7.7
215,32,5,Car,918,767,1226,1069,1.0667,28.04
216,32,6,Car,750,514,1044,749,1.0667,34.5
217,32,9,Car,442,291,569,366,1.0667,19.44
218,32,11,Car,657,417,900,622,1.0667,5.0
219,33,1,Car,1396,611,1709,874,1.1,41.06
220,33,2,Car,310,258,454,361,1.1,7.53
221,33,3,Car,1033,341,1258,540,1.1,25.86
222,33,4,Car,556,318,775,505,1.1,31.03
223,33,5,Car,921,771,1234,1079,1.1,20.82
224,33,6,Car,756,522,1046,756,1.1,38.59
225,33,9,Car,446,290,570,365,1.1,14.4
226,33,11,Car,657,418,902,627,1.1,6.32
227,34,1,Car,1393,612,1722,891,1.1333,10.93
228,34,2,Car,312,257,455,361,1.1333,8.95
229,34,3,Car,1038,345,1262,542,1.1333,25.4
230,34,4,Car,558,319,778,506,1.1333,10.17
231,34,5,Car,927,778,1237,1083,1.1333,34.81
232,34,6,Car,762,529,1049,761,1.1333,33.7
233,34,9,Car,448,290,571,364,1.1333,9.86
234,34,11,Car,660,421,902,629,1.1333,16.07
235,35,1,Car,1395,615,1734,905,1.1667,14.33
236,35,2,Car,314,256,458,361,1.1667,9.89
237,35,3,Car,1039,341,1271,547,1.1667,11.11
238,35,4,Car,559,322,784,513,1.1667,14.33
239,35,5,Car,938,788,1242,1084,1.1667,55.49
240,35,6,Car,768,532,1054,765,1.1667,25.72
241,35,9,Car,448,288,575,366,1.1667,6.42
242,35,11,Car,663,426,903,632,1.1667,23.43
243,36,1,Car,1403,618,1746,913,1.2,33.07
244,36,2,Car,314,253,461,361,1.2,10.06
245,36,3,Car,1040,341,1279,552,1.2,6.49
246,36,4,Car,557,324,787,517,1.2,8.75
247,36,5,Car,954,803,1245,1084,1.2,78.85
248,36,6,Car,771,536,1058,771,1.2,19.23
249,36,9,Car,449,286,579,367,1.2,7.29
250,36,11,Car,673,432,907,633,1.2,41.72
251,37,1,Car,1411,623,1754,919,1.2333,34.74
252,37,2,Car,315,251,461,361,1.2333,6.73
253,37,3,Car,1042,339,1286,557,1.2333,9.86
254,37,4,Car,558,325,790,520,1.2333,6.07
255,37,5,Car,960,814,1245,1083,1.2333,45.15
256,37,6,Car,775,542,1058,773,1.2333,26.38
257,37,9,Car,450,285,580,367,1.2333,4.89
258,37,11,Car,674,439,915,647,1.2333,27.87
259,38,1,Car,1419,634,1756,925,1.2667,49.66
260,38,2,Car,317,251,462,361,1.2667,9.2
261,38,3,Car,1049,343,1291,561,1.2667,29.71
262,38,4,Car,558,327,792,523,1.2667,9.75
263,38,5,Car,970,825,1247,1083,1.2667,53.97
264,38,6,Car,784,556,1056,775,1.2667,61.85
265,38,9,Car,451,285,581,368,1.2667,3.89
266,38,11,Car,673,442,920,653,1.2667,12.7
267,39,1,Car,1429,645,1765,935,1.3,53.2
268,39,2,Car,319,251,463,361,1.3,9.96
269,39,3,Car,1055,347,1294,563,1.3,26.72
270,39,4,Car,559,331,797,530,1.3,14.99
271,39,5,Car,977,838,1245,1080,1.3,53.38
272,39,6,Car,789,563,1065,783,1.3,32.21
273,39,9,Car,454,284,584,368,1.3,13.43
274,39,11,Car,673,443,929,662,1.3,5.17
275,40,1,Car,1435,653,1771,943,1.3333,35.57
276,40,2,Car,322,252,463,361,1.3333,12.32
277,40,3,Car,1058,349,1296,566,1.3333,14.96
278,40,4,Car,559,332,800,534,1.3333,4.79
279,40,5,Car,983,848,1247,1079,1.3333,42.9
280,40,6,Car,788,566,1070,789,1.3333,12.25
281,40,9,Car,456,284,584,368,1.3333,8.95
282,40,11,Car,674,446,932,665,1.3333,13.4
283,41,1,Car,1441,660,1778,951,1.3667,34.05
284,41,2,Car,325,251,465,360,1.3667,11.49
285,41,3,Car,1072,361,1295,562,1.3667,64.1
286,41,4,Car,561,334,805,539,1.3667,11.14
287,41,5,Car,988,861,1246,1078,1.3667,51.61
288,41,6,Car,790,570,1080,799,1.3667,19.16
289,41,9,Car,458,283,586,368,1.3667,9.54
290,41,11,Car,675,447,934,670,1.3667,7.53
291,42,1,Car,1449,666,1784,958,1.4,37.97
292,42,2,Car,327,251,466,359,1.4,9.3
293,42,3,Car,1077,364,1299,564,1.4,23.7
294,42,4,Car,563,334,809,542,1.4,7.53
295,42,5,Car,998,876,1247,1076,1.4,64.1
296,42,6,Car,794,575,1088,808,1.4,25.44
297,42,9,Car,462,284,588,369,1.4,15.58
298,42,11,Car,674,449,937,676,1.4,9.75
299,43,1,Car,1456,668,1798,964,1.4333,28.98
300,43,2,Car,327,251,467,359,1.4333,2.74
301,43,3,Car,1079,365,1304,567,1.4333,9.79
302,43,4,Car,564,334,812,544,1.4333,4.82
303,43,5,Car,1003,883,1252,1075,1.4333,32.31
304,43,6,Car,798,579,1096,816,1.4333,21.86
305,43,9,Car,464,285,587,369,1.4333,10.79
306,43,11,Car,677,454,935,677,1.4333,22.49
307,44,1,Car,1459,674,1807,973,1.4667,26.65
308,44,2,Car,329,250,468,359,1.4667,7.39
309,44,3,Car,1084,370,1312,575,1.4667,28.35
310,44,4,Car,568,336,816,548,1.4667,16.59
311,44,5,Car,1008,893,1255,1074,1.4667,42.58
312,44,6,Car,802,584,1105,827,1.4667,25.02
313,44,9,Car,468,284,590,369,1.4667,15.62
314,44,11,Car,691,463,938,677,1.4667,61.74
315,45,1,Car,1463,684,1816,989,1.5,41.23
316,45,2,Car,331,250,471,359,1.5,7.43
317,45,3,Car,1088,373,1321,581,1.5,18.08
318,45,4,Car,573,339,818,550,1.5,22.38
319,45,5,Car,1021,907,1258,1071,1.5,69.13
320,45,6,Car,806,590,1114,837,1.5,25.72
321,45,9,Car,470,283,594,369,1.5,9.82
322,45,11,Car,698,470,942,679,1.5,36.86
323,46,1,Car,1468,690,1823,996,1.5333,30.44
324,46,2,Car,332,250,473,360,1.5333,5.28
325,46,3,Car,1089,375,1324,585,1.5333,9.79
326,46,4,Car,577,343,820,551,1.5333,21.31
327,46,5,Car,1023,914,1259,1069,1.5333,27.83
328,46,6,Car,811,596,1116,844,1.5333,30.4
329,46,9,Car,472,282,596,369,1.5333,7.88
330,46,11,Car,700,478,949,689,1.5333,30.37
331,47,1,Car,1477,697,1834,1005,1.5667,40.88
332,47,2,Car,334,250,475,360,1.5667,9.13
333,47,3,Car,1091,376,1332,591,1.5667,10.59
334,47,4,Car,583,347,822,551,1.5667,27.49
335,47,5,Car,1027,922,1271,1074,1.5667,34.53
336,47,6,Car,816,603,1120,852,1.5667,31.1
337,47,9,Car,473,282,598,369,1.5667,3.85
338,47,11,Car,688,469,963,707,1.5667,50.32
339,48,1,Car,1486,709,1842,1014,1.6,53.06
340,48,2,Car,337,250,478,360,1.6,11.52
341,48,3,Car,1096,378,1340,597,1.6,20.86
342,48,4,Car,587,352,824,554,1.6,24.15
343,48,5,Car,1039,932,1269,1075,1.6,57.99
344,48,6,Car,824,615,1121,858,1.6,52.02
345,48,9,Car,473,279,600,369,1.6,7.91
346,48,11,Car,683,465,973,719,1.6,19.71
347,49,1,Car,1495,720,1848,1021,1.6333,51.95
348,49,2,Car,339,251,478,360,1.6333,8.61
349,49,3,Car,1100,378,1348,600,1.6333,16.97
350,49,4,Car,588,355,825,556,1.6333,14.13
351,49,6,Car,826,618,1127,865,1.6333,15.41
352,49,9,Car,474,279,601,368,1.6333,6.94
353,49,11,Car,686,464,979,725,1.6333,11.35
354,50,1,Car,1509,733,1857,1025,1.6667,70.0
355,50,2,Car,341,251,479,359,1.6667,8.75
356,50,3,Car,1106,380,1354,604,1.6667,23.5
357,50,4,Car,591,359,827,559,1.6667,20.44
358,50,6,Car,824,621,1137,881,1.6667,13.26
359,50,9,Car,478,280,601,367,1.6667,15.51
360,50,11,Car,689,470,972,725,1.6667,27.1
361,51,1,Car,1523,746,1865,1029,1.7,70.04
362,51,2,Car,344,250,483,359,1.7,10.86
363,51,3,Car,1111,383,1357,604,1.7,22.38
364,51,4,Car,594,363,831,563,1.7,20.3
365,51,6,Car,822,621,1149,896,1.7,6.8
366,51,9,Car,481,281,602,365,1.7,14.06
367,51,11,Car,692,476,966,726,1.7,24.61
368,52,1,Car,1527,753,1872,1034,1.7333,28.94
369,52,2,Car,345,250,484,359,1.7333,4.72
370,52,3,Car,1119,385,1362,604,1.7333,31.72
371,52,4,Car,594,366,832,567,1.7333,13.08
372,52,6,Car,823,624,1152,904,1.7333,12.91
